title,category,gpt_4o_prediction,claude_3.5_sonnet_prediction,gpt_4o_mini_prediction,claude_3.5_haiku_prediction
15 buffing wheel rake 458 x 2 rake tooth polishing wheel rake for polishing compound cleaning with metal rake plate replacement,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products
forney 60184 mounted flap wheel with 14inch shank 2inchby1inch 60grit,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products
30 pcs 9inch 6hole hookandloop sanding discs sander paper for drywall sander 5 each of 80 100 120 180 240 400 grits,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products
412x364x78 cutoff wheels for angle grinders metal and stainless steel cutoff wheels pack of 50 wheels,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products
3 lb per polish 500 silicon carbide rock refill grit abrasive media step 3 usa,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products
sandpaper cylinder multifunctional sanding drum practical sandpaper roll for grinding and polishing all materials,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products
5 pieces wood carving disc grinding wheel shaping disc 12 teeth wood polishing shaping disc6 teeth wood turbo carving disc22 teeth grinder chain disc4 12 wood carving disc 5 pcs,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products
lab sandblaster with 2 pen 2 tanks large view window machine,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products
michael miller tossed hot wheels teal 15 yard bolt,abrasive finishing products,arts crafts supplies,arts crafts supplies,arts crafts supplies,arts crafts sewing storage
15 buffing wheel rake for removing residual buff compound double handle,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products
cubitron ii 3m utility cloth roll 314d aluminum oxide 112 width x 20 yds length p150 grit maroon pack of 1,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products
pferd 41590 untapered cartridge roll aluminum oxide a 12 diameter x 112 length 18 arbor hole 80 grit 18000 max rpm pack of 50,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products
benchmark abrasives 6 psa gold self adhesive da sanding disc roll aluminum oxide grains designed for surface blending edge sanding general stock removal orbital sanders 100 discs 80 grit,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products
2 pack 5 inch 8 hole hook and loop replacement sanding pads for dewalt dwe6421b2 dwe6421b3 dwe64236423k dwe64216421k dwe64233 n329079 orbital sander backing pad,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,automotive tools equipment
benchmark abrasives 45 x 78 t29 angled ceramic flat flap discs for sanding grinding finishing stock removal on stainless steel carbon steel alloys metals 10 pack 36 grit,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products
weiler 80431409 31409 vortec pro zirconia alumina type 27 flap disc 60 grit 5811 unc 13000 rpm 4 12 set of 1ea,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,automotive tools equipment
bench grinder stone dresser grinding wheel dressing stone 150x25x25mm medium grit silicon carbide dressing stick,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products
100 pack 6 inch 80 grits hook and loop sanding disc 6 holes sand paper for random orbital sander pads orbit sander sandpaperhook and loop round sand paper,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products
unitized surface prep quick change discs 3 inch 5 pack 2sf low density silicon carbide fine,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products
3 leather honing wheel buffing compound included 34 wide,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products,abrasive finishing products
metzonic apple mfi certified metal iphone charger 304 stainless steel braided usb charging cable 33ft high speed connector data sync transfer cord compatible with iphoneipad,accessories supplies,accessories supplies,accessories supplies,accessories supplies,accessories supplies
powerextra 2 pack replacement sony npf970 battery and fast charger dual usb for npf930 npf950 npf960 npf550 npf530 npf330 npf570 handycams,accessories supplies,accessories supplies,accessories supplies,accessories supplies,accessories supplies
5yrs free data recovery gigastone 512gb micro sd card 4k game turbo microsdxc memory card for nintendoswitch gopro action camera dji uhd video rw up to 10060 mbs uhsi u3 a2 v30 c10,accessories supplies,accessories supplies,accessories supplies,accessories supplies,accessories supplies
