title,category,gpt_4o_prediction,gpt_4o_mini_prediction,claude_3.5_sonnet_prediction,claude_3.5_haiku_prediction
ohayoo puff vinyl heat transfer 3d puff vinyl color changing vinyl heat transfer vinyl puff htv iron on vinyl for tshirts hat pillow hoodie diy fabric supplies 12 x 10uv color change 3pc,sewing products,sewing products,sewing products,sewing products,stationery gift wrapping supplies
12pcs bobbins fits singer sewing machine class 15 plastic bobbins 81348,sewing products,sewing products,sewing products,sewing products,sewing products
hotop 200 pcs breast cancer awareness buttons pin bulk pink ribbon novelty button pins hope strength pinback buttons for survivor campaign public event charity recognition fundraiser,sewing products,stationery gift wrapping supplies,stationery gift wrapping supplies,stationery gift wrapping supplies,stationery gift wrapping supplies
clover patchwork pins fine,sewing products,sewing products,sewing products,sewing products,sewing products
cutex motor belt 130944001 brother vx xlxr series sewing machines,sewing products,sewing products,sewing products,sewing products,sewing products
midi ribbon baby ribbon its a boy baby blue celebration double face satin craft ribbon 38 inch by 25 yard boy ribbon for baby shower birthday christening party favor gift wrap diaper cake decor,sewing products,stationery gift wrapping supplies,stationery gift wrapping supplies,stationery gift wrapping supplies,stationery gift wrapping supplies
bosal katahdin onaroll organic cotton batting 214 inches by 50 yards,sewing products,sewing products,sewing products,sewing products,sewing products
harley davidson logo 2 small embroidered patch to iron on,sewing products,sewing products,sewing products,sewing products,stationery gift wrapping supplies
mr pen sewing ruler 3 x17 inch acrylic ruler quilting ruler cutting ruler acrylic ruler for cutting fabric rulers for quilting and sewing non slip quilt rulers sewing supplies,sewing products,sewing products,sewing products,sewing products,sewing products
hook and loop tape 2in x 4in 10 pairs slef adhesive interlocking tape strip mounting tape heavy duty adhesion hook lopp fastener double sided tapesticky back fastener,sewing products,sewing products,stationery gift wrapping supplies,stationery gift wrapping supplies,stationery gift wrapping supplies
bonded nylon thread for sewing leatherupholsteryjeans and wig 69 t70 size 210d3 1400 yards black,sewing products,sewing products,sewing products,sewing products,sewing products
pagow colorful mushroon shape sewing buttons craft resin pearl fasteners scrapbooking diy christmas for kids clothes coat shirt childre buckle 11mm mixed 8 color 120,sewing products,sewing products,sewing products,sewing products,stationery gift wrapping supplies
honeysew ac power cable cord compatible with brother singer white babylock viking pfaff sewing machine,sewing products,sewing products,sewing products,sewing products,sewing products
juland 200 pcs mixed wooden buttons in bulk round decorative wood buttons 4 holes for crafts scrapbooking or sewing and diy craft 15 20 25mm,sewing products,sewing products,sewing products,sewing products,stationery gift wrapping supplies
3x 2 texas state flag patch embroidered emblem tactical backpack bag backing hook and loop,sewing products,sewing products,sewing products,sports outdoors,sports outdoors
needle threaders 10pcs assorted colors plastic flower head wire loop needle threaders for hand stitching,sewing products,sewing products,sewing products,sewing products,sewing products
2 rolls 10 yards day of the dead wired edge ribbons 25inch black purple sugar skull flower burlap ribbon dia de los meurtos ribbon for mexican halloween party diy craft wreath decor,sewing products,stationery gift wrapping supplies,stationery gift wrapping supplies,stationery gift wrapping supplies,stationery gift wrapping supplies
embroidered flowers bee iron on patches 36pcs cute bumble sunflower daisy patch for clothing sew on embroidered applique decoration sewing patches for bags jackets jeans clothes diy patches,sewing products,sewing products,sewing products,sewing products,sewing products
usky sew or iron on patches 3pcs cute band aid iron patches for clothing yellow color embroidery patches for jackets funny design patches for jeans patches for backpacks size 26x26 inch,sewing products,sewing products,sewing products,sewing products,stationery gift wrapping supplies
grabbit magnetic sewing pincushion with 50 plastic head pins black,sewing products,sewing products,sewing products,sewing products,sewing products
360 full wrapping waterproof vibrating male masturbator adjustable buckle male penis vibrator with 10 vibration for glans training prolong endurance double motors male sex toy for men pleasure,sexual wellness products,sexual wellness products,sexual wellness products,sexual wellness products,sexual wellness products
lelo f1s v2 waterproof sucking male masturbator male sex toys pocket pussy men sex toys for men male masturbators with 4 vibrating patterns blue,sexual wellness products,sexual wellness products,sexual wellness products,sexual wellness products,sexual wellness products
