title,category,gpt_4o_prediction,claude_3.5_sonnet_prediction,gpt_4o_mini_prediction,claude_3.5_haiku_prediction
lifeproof for appleiphone 12iphone 12 pro clear and thin drop proof protective case see series emoceanal clearpurple,ebook readers accessories,games accessories,headphones earbuds,electrical equipment,games accessories
the complete idiots guide to amigurumi,ebook readers accessories,fabric decorating,games accessories,fabric decorating,gift wrapping supplies
fintie slimshell case for nook glowlight 4 2021 nook glowlight 4e 2022 ultra lightweight pu leather cover for 6 barnes and noble nook glowlight 4 glowlight 4e ebook ereader black,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories
kwmobile case compatible with kobo libra 2 pu leather bookstyle cover violet,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories
moko protective case compatible with kobo libra 2 2021 7 inch origami slim and lightweight compatible with kobo libra 2 ereader 7 inch 2021 tablet starry galaxy,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories
kwmobile case compatible with kobo libra 2 synthetic suede cover brushed heart dark brown,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories
looking in the distance the human search for meaning,ebook readers accessories,ebook readers accessories,health household,gift cards,gift cards
fintie flip case for kobo elipsa 2021 release slim vertical multiangle viewing stand cover with auto sleepwake for 103 kobo elipsa ereader black,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories
e netcase case for kobo elipsa ereader103 inch 2021 slim lightweight book folios cover for kobo elipsa 103 inch trifold stand case for kobo elipsa 103 inch pack with the pencil bag,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories
kwmobile cover compatible with kobo clara 2e tolino shine 4 cover ereader case magnolias grey,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories
crows cant count,ebook readers accessories,games accessories,games accessories,games accessories,games accessories
kwmobile case compatible with kobo libra h2o book style fabric ereader cover flip folio case grey,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories
acdream case for nook glowlight 4 2021 nook glowlight 4e 2022 folio premium pu leather ereader cover with magnet closure sky blue,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories
mathematical mysteries the beauty and magic of numbers,ebook readers accessories,ebook readers accessories,games accessories,electronic components,games accessories
kwmobile cover compatible with kobo libra 2 cover pvc ereader case colorful yellowredgreen,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories
kwmobile case compatible with barnes noble nook glowlight 4 4e case ereader cover cosmic nature bluegreyblack,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories
kwmobile case compatible with kobo sage case ereader cover front page multicolorblacksand,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories,ebook readers accessories
rechargeable amber book light 16 mini leds,ebook readers accessories,electrical equipment,ebook readers accessories,ebook readers accessories,ebook readers accessories
moaan inkpalm plus ereader 64g mini ebook reader with 584 eink screen and wifi adjustable brightness for adults kids seniors orange,ebook readers accessories,ebook readers accessories,ebook readers accessories,electronic components,ebook readers accessories
mort discworld novel 4 discworld novels,ebook readers accessories,games accessories,games accessories,ebook readers accessories,games accessories
ceptics israel palestine travel plug set with 2 usb usa socket input type h and type c ultra compact safe grounded perfect for cell phones laptops camera chargers,electrical equipment,electrical equipment,electrical equipment,electrical equipment,electrical equipment
nsi industries tork tu40 indooroutdoor 40amp universal multivolt electromechanical appliance timer 24hour programming multiple onoff settings 120277volt compatible with incandescentcompact fluorescentled same onoff times each day,electrical equipment,electrical equipment,electrical equipment,electrical equipment,electrical equipment
bussmann bpagc20 20 amp fast acting glass tube fuse yellow,electrical equipment,electrical equipment,electrical equipment,electrical equipment,electrical equipment
34 x 20 ft split wire loom flexguard convoluted tubing protective split cable sleeves for automotive home industrial electrical wires chemical resistant cable conduit black,electrical equipment,electrical equipment,electrical equipment,electrical equipment,electrical equipment
enerlites fba8812w10pcs toggle light switch wall plate size 2gang 450 x 457 unbreakable polycarbonate thermoplastic 8812w10pcs white 10 pack,electrical equipment,electrical equipment,electrical equipment,electrical equipment,electrical equipment
hotop 24vac 40 va ac transformer plug in with ptc fuse compatible with ring nest doorbell ul listed,electrical equipment,electrical equipment,electronic components,electrical equipment,electrical equipment
leviton 128w 15amp 660watt twin lightsocket adapter white,electrical equipment,electrical equipment,electrical equipment,electrical equipment,electrical equipment
apiele metal zip ties stainless steel 118inch uv resistant zip ties multipurpose selflocking zip ties50 pcs,electrical equipment,fasteners,fasteners,fasteners,fasteners
bates european plug adapter 2 pc travel adapter us to europe plug adapter eu adapter electrical adapters converter plug european outlet adapter travel plug adapter converter plug for europe,electrical equipment,electrical equipment,electrical equipment,electrical equipment,electrical equipment
bp lamp antique brass socket with matching cord set and basic hardware,electrical equipment,electronic components,hardware,hardware,hardware
15 feet 63 type nmb copper 6 awg 3 conductor with ground insulated jacket black,electrical equipment,electrical equipment,electrical equipment,electrical equipment,electrical equipment
apc surge protector power strip pe76 1440 joule flat plug 7 outlet strip black,electrical equipment,electrical equipment,electrical equipment,electrical equipment,electrical equipment
lenco 05335 international dinse type machine plug adapter male and female connection,electrical equipment,electrical equipment,electrical equipment,electrical equipment,electrical equipment
klein tools vdv001081 multibit screwdriver punchdown screwdriver bayonettestyle multitool with heavyduty blade barrek for bit storage,electrical equipment,electrical equipment,hardware,hardware,hardware
