title,category,gpt_4o_prediction,claude_3.5_sonnet_prediction,gpt_4o_mini_prediction,claude_3.5_haiku_prediction
amazing abby vase viola magra acrylic cylinder vases 3piece set plastic cylindrical flower vases for wedding centerpieces home decorations office ornaments shatterproof 6 9 12 h,home dcor products,home dcor products,home dcor products,home dcor products,home dcor products
rorkim 4 pack 15 inch iridescent acrylic shelves clear rainbow kids floating bookshelf for kids room modern sunglasses essential oil picture ledge display toy storage wall shelf,home dcor products,home storage organization,kids home store,kids furniture,kids home store
macrame throw pillow cushion covers woven boho bed sofa couch bench car home decor comfy square pillow cases with tassels set of 2 decorative pillowcase 17x17 inch cream,home dcor products,home dcor products,home dcor products,home dcor products,home dcor products
100 pack pink artificial rose flower heads for decorations weddings bridal showers 3 colors 3x12 in,home dcor products,home dcor products,home dcor products,home dcor products,home dcor products
department 56 accessories for villages halloween haunted well 276 inch,home dcor products,home dcor products,home dcor products,home dcor products,home dcor products
americanflat 11x14 collage picture frame in black displays five 4x6 frame openings or one 11x14 frame without mat engineered wood shatter resistant glass includes hanging hardware for wall,home dcor products,home dcor products,home dcor products,home dcor products,home dcor products
6 pcs beaded wood coasters sets 394 inches round beaded coasters farmhouse coasters home wood coasters for drinks bar coasters table top coasters for home kitchen table housewarming white,home dcor products,home dcor products,kitchen dining,home dcor products,household supplies
yankee candle large jar candle clean cotton,home dcor products,home dcor products,home dcor products,household supplies,household supplies
junovo ultra soft rug for nursery children room baby room home decor dormitory hexagon carpet for playhouse princess tent kids play castle diameter 46 ft pink,home dcor products,home dcor products,kids home store,kids home store,kids home store
yankee candle spiced pumpkin scentplug refill 2pack,home dcor products,household supplies,home dcor products,home dcor products,household supplies
panchh rustic farmhouse stone cork coasters for drinks absorbent set of 6 coasters with holder best housewarming gifts for new home ideas cute kitchen and coffee table dcor accessories,home dcor products,home dcor products,kitchen dining,kitchen dining,home dcor products
creative coop unscented tree shaped taper candles evergreen boxed set of 2,home dcor products,home dcor products,home dcor products,home dcor products,home dcor products
frametory 11x14 picture frame made to display pictures 8x10 with mat or 11x14 without mat wide molding preinstalled wall mounting hardware black 1 pack,home dcor products,home dcor products,home dcor products,home dcor products,home dcor products
2 pack fall maple leaf garland 6ftpiece artificial berries sunflower pumpkin autumn garland decoration for wedding party thanksgiving dinner fireplace door frame doorway backdrop decor,home dcor products,home dcor products,home dcor products,home dcor products,home dcor products
twinnis super soft shaggy area rugs fluffy plush carpets 5x8 feet indoor modern fuzzy rugs for living room bedroom kids room nursery home decor upgrade antiskid durable rectangular black,home dcor products,home dcor products,home dcor products,home dcor products,home dcor products
natures source floating corner shelves set of 3 corner shelves wall mounted floating shelves for bedroom kitchen living room bathroom office gothic style black,home dcor products,home dcor products,home dcor products,home dcor products,home dcor products
